,Principal Component 1,Principal Component 2,Principal Component 3,Principal Component 4,Principal Component 5,Principal Component 6,Principal Component 7,Principal Component 8,Principal Component 9,Principal Component 10,Principal Component 11,Principal Component 12,Principal Component 13,Principal Component 14,Principal Component 15,Principal Component 16,Principal Component 17,Principal Component 18,Principal Component 19,Principal Component 20,Principal Component 21,Principal Component 22,Principal Component 23,Principal Component 24,Principal Component 25,Principal Component 26,Principal Component 27,Principal Component 28,Principal Component 29,Principal Component 30,Principal Component 31,Principal Component 32,Principal Component 33,Principal Component 34,Principal Component 35
4100,-1.069850882503301,-0.16228951691474489,-6.372393271023529,-1.287456138522735,2.6674123101571587,-0.182703042646435,-0.13514494215128867,0.05271723316086535,-0.30628942066611425,-0.47172112564838337,0.9974044228706487,-0.18014111640616118,1.9157821109281128,-0.5026816643386489,0.651191084901254,-0.17345095856181372,-1.4632881613762085,-0.24020720838909265,0.38958390593284337,-0.8545462011907345,-0.6973669866068264,0.6816491071228599,-1.1092684081113362,-0.10357387398346564,0.6976094456802695,0.6985845051884618,0.9296484153212299,-0.15577494744721676,-0.028710384673323194,-0.3060563515743454,-0.5793039291195329,-1.5467988171578722,0.10236823649877089,-1.5238434051053218,0.4331732143353239
636,-2.2009697898868636,-0.07902079937430362,-1.4662861040875859,0.6295218033337776,1.863437927479352,-0.40316320734262673,-0.03461698054184422,0.009878153491905864,-0.42282902683042956,-0.04579542756667487,-1.554875113992763,0.21654159685481897,-0.6413297436543641,-2.4612216858788543,-3.5927832605343846,1.5505118634366752,-1.3776687356656834,-0.3971153617280447,-0.7291377826280847,1.5721411142743702,1.1153985507403021,-1.196534873879841,1.8778233724249374,-0.3441501560943002,0.42529568236669496,-1.1845334782999366,-0.5868392059905533,0.2675556425792203,0.8903146982625756,-0.8799691894451482,0.5478532078537897,0.21160842195741475,-0.7300742248092819,0.8247757440119159,0.2601916348904786
420,-3.1377799991495636,0.11614728409426495,9.79031660706037,-1.46301192864595,4.825244914586222,-0.5512903578103102,-0.4914310423697649,2.868056298820658,-0.38782796879833403,0.4042046844294875,-2.1793412594398025,0.11110548346842704,-1.2316922387104443,-1.5277008926572833,-3.045775652893581,1.3577391727313017,-1.6129796860104981,1.4848780832130302,0.2333864301994134,0.7280940810189035,1.5395675134224094,-0.05902765337122294,2.2569906453670443,-1.2389268736522538,-1.7121931619426989,-1.3394545397776179,1.0284287401565129,1.5181223845060214,-0.2834490201275909,-1.755655867125635,-0.14426756325882312,0.46996424362216854,0.8258684298235728,1.2678518684746753,-0.6007329889340872
3427,-1.8645132534904973,-0.08186389190226182,-1.0405185318249546,0.1760542206736351,-0.1573567514363479,-0.0454035475013761,0.289544064645962,-0.6017945102615451,0.0980732980461916,-0.10239182820588186,0.11539072585253976,0.19162728491825512,-0.17212406672116157,-1.4883448242845376,-0.39626655542637246,-0.07841715036158176,-0.15346727206157287,-1.3677406817145226,0.3037349856439849,0.80989082772813,0.48020286259504796,-0.7441344660184332,-0.8582075496262858,-0.7145553677976269,-0.7697774333790897,1.343755710584475,0.12342342260639763,1.1737577522239964,-0.2421709918102333,-0.8451645816255279,0.14300242345957034,-1.007941934317633,-0.3043089333125633,-0.9407727203750462,0.8192806609137275
245,-2.0005911478279184,-0.10361932200163483,-3.21496967328248,-0.0876176702920842,-1.2261277064714413,-0.11684150518569754,-0.033692826967585986,0.042432759626401896,-0.009494510517374544,0.21396564858721387,-0.8987597642923957,1.25467445349141,-1.461007171038477,-0.3397399507622772,0.6695901227622191,-0.15828443665354236,-0.3798477103527109,0.8159356335990305,-0.19714094547745126,-0.3613537666122901,-0.12199999092700597,0.3735002824831124,-0.2733160914006712,2.2244792886926543,0.187136503027963,-0.5176719451785902,0.9529543925752813,1.1680066100476079,-0.501625705933137,-0.6894523253201195,0.08870655858086776,-1.4442516017830682,1.2264405966372447,1.7776640615987755,-0.22210491047560033
1705,-2.387405453747731,-0.012874820101831507,-0.17674838483865626,0.26306214920989657,-4.266678339203444,0.22184118160043192,0.03522001220220073,-0.7662695401006414,0.5616521009695348,0.06345669153859983,-0.8691209817822535,0.3695605859875244,1.063187019923649,-0.8653068703442839,1.1446693857506407,-0.028209304665561357,-1.369233129328713,0.3001915893072169,-0.9655295128722027,-1.387829756675377,-0.6324874146059294,2.429911230585148,0.02223560686878247,0.706481082714445,0.3227423877364663,-0.009384363829272328,0.016075687042320062,0.2138720463444501,-1.122902889517761,0.43337856661314494,0.10356029410123553,1.3849455174541296,-0.14732107956978724,-0.5361400254474533,-0.33386314407115586
2940,-2.151205965911427,-0.1819010767076602,-1.712509327277313,-3.778734090527391,-0.006755006518863873,-0.1501633162195647,0.47055475726325224,-0.5098190722170868,-0.5019120739470612,-0.1289810130174725,1.457314912806808,0.48688796290931624,-1.710415453302338,2.043271168180573,0.6692517636649049,-0.3023672812271601,-0.8725691054924455,-0.8812990973420595,0.633724419671254,-1.255539814104965,2.1609965298641445,0.6474348907134135,-0.7234638548026766,-2.590347439387316,-0.11693623425529129,0.28073648676078405,-1.6849613285358556,-0.06782426041220074,0.3734253026413496,0.13963340400105212,0.6691434305402175,-0.46087398473157803,0.15211373592568928,-1.171125338160153,0.43789318871726735
3242,-2.26388017120452,-0.0884697795966168,-1.2552557979808308,0.332726658664222,0.43542557894966083,-0.20870454031807883,-0.17109723292281376,0.14033073574261556,-0.13257440077416757,0.13147303165142457,-2.1034960463798686,-0.11654055979296606,0.8466674528117123,-2.5390280294477208,-4.4983795923558265,1.8225086246506756,-1.223712718379899,-1.3480937489123928,-0.38298783279992515,2.0336301947026003,0.9455367284389701,-1.775875236968193,1.485646300346307,-1.0366268028451535,0.3415475758514729,-0.008418690362682653,0.3684353477302498,-1.1058081662111716,-0.345894399804752,1.0064954747918073,-0.5642572165426665,1.4454862858114053,1.183761278337222,-0.016594327642087164,-0.3800228558629641
1246,-1.9358001729833214,-0.21478861499178914,-3.069723175064441,-5.316327154393529,-0.49621839388850936,0.02234814770040281,0.06759894452782934,-0.07941843388363148,-0.2132964654112567,-0.0570413539431714,1.9916026785317704,1.3334381316901989,-1.060824812416724,1.9484983688973727,0.8773074790441744,-0.5769927248835878,-0.8763693039387884,-0.9289551536332077,1.6522055848788513,-0.2341384766865269,-4.525719099199733,-1.253764029508352,3.393224938903969,0.8070339289388843,-0.6800207043185287,1.631947389945466,0.24244542460052088,-0.5747689667741545,-0.3665517554270115,1.5502259145800783,-1.1889829246240016,0.19580028504018673,0.4174671760112967,-0.14543706528794884,0.007562930115580806
2466,3.8831417954641716,0.1491139715847693,-5.898153233553365,0.2316025542012958,1.6706832956588975,1.0152026371656548,-3.747100540737522,-2.1758919589742076,-3.152582192894037,-1.5606252988066152,-1.190309047848554,0.5234691002279535,1.5162439293418237,-2.6292172858801797,4.383898123794727,-2.002314827614757,0.04636454960143802,0.16709936881792148,-1.8501252177195011,0.3629095202267765,1.3006808210530636,-1.647954962419087,1.967070933437459,1.1008696958687136,-0.04490842003205201,0.4298342128195844,0.39469138532400994,0.5955587896799724,-0.7619001518860526,0.45026558541932454,0.0453814534102876,0.03494086649018567,0.09911039178996328,-0.43675222166243693,0.4749133154083033
